,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,music_genre
1,31.0,0.0127,0.622,218293.0,0.89,0.95,0.124,-7.042999999999999,0.03,115.002,0.531,Electronic
2,28.0,0.00306,0.62,215613.0,0.755,0.0118,0.534,-4.617,0.0345,127.994,0.3329999999999999,Electronic
3,34.0,0.0254,0.774,166875.0,0.7,0.00253,0.157,-4.498,0.239,128.014,0.27,Electronic
4,32.0,0.00465,0.638,222369.0,0.5870000000000001,0.909,0.157,-6.266,0.0413,145.036,0.3229999999999999,Electronic
6,46.0,0.0289,0.5720000000000001,214408.0,0.8029999999999999,7.74e-06,0.106,-4.294,0.351,149.995,0.23,Electronic
7,43.0,0.0297,0.809,416132.0,0.706,0.903,0.0635,-9.339,0.0484,120.008,0.7609999999999999,Electronic
8,39.0,0.00299,0.509,292800.0,0.921,0.000276,0.178,-3.175,0.268,149.94799999999998,0.273,Electronic
9,22.0,0.00934,0.578,204800.0,0.731,0.0112,0.111,-7.091,0.173,139.933,0.203,Electronic
10,30.0,0.855,0.607,170463.0,0.158,0.0,0.106,-13.787,0.0345,57.528,0.307,Electronic
11,27.0,0.0337,0.513,165132.0,0.828,0.569,0.109,-5.439,0.0609,178.543,0.0591,Electronic
12,31.0,0.016,0.66,236089.0,0.892,0.000605,0.163,-3.464,0.0645,128.043,0.111,Electronic
14,27.0,0.000194,0.601,243857.0,0.969,0.7759999999999999,0.409,-1.5530000000000002,0.185,139.911,0.198,Electronic
15,50.0,0.00331,0.391,240000.0,0.957,0.22,0.1119999999999999,-2.51,0.0904,100.024,0.121,Electronic
17,29.0,0.158,0.66,266282.0,0.784,0.000279,0.0978,-4.396,0.0571,127.958,0.622,Electronic
18,35.0,6.02e-05,0.259,185333.0,0.687,0.00862,0.3379999999999999,-3.2310000000000003,0.0413,135.532,0.114,Electronic
19,50.0,0.0281,0.6559999999999999,307328.0,0.653,0.858,0.1119999999999999,-11.883,0.0396,117.999,0.1989999999999999,Electronic
20,44.0,0.00804,0.516,241877.0,0.92,0.614,0.8009999999999999,-4.37,0.0942,145.02700000000002,0.332,Electronic
21,29.0,0.00998,0.8540000000000001,227756.0,0.335,0.67,0.0761,-9.062,0.0545,83.943,0.509,Electronic
22,43.0,0.00949,0.629,364347.0,0.6970000000000001,0.235,0.118,-11.293,0.0765,162.266,0.8440000000000001,Electronic
23,33.0,0.00825,0.659,215280.0,0.912,0.0,0.5429999999999999,-4.212,0.0562,109.965,0.501,Electronic
25,34.0,0.0236,0.715,221050.0,0.978,0.000493,0.216,-1.538,0.362,125.109,0.418,Electronic
26,21.0,0.00362,0.713,214000.0,0.8240000000000001,0.492,0.311,-7.475,0.0409,120.002,0.4539999999999999,Electronic
27,29.0,0.00336,0.291,309943.0,0.94,0.0001159999999999,0.105,-4.044,0.319,174.86,0.146,Electronic
28,31.0,0.0422,0.6,446413.0,0.7959999999999999,0.911,0.145,-12.749,0.0468,115.01,0.0318,Electronic
29,28.0,0.0336,0.74,222241.0,0.83,0.401,0.0961,-3.783,0.0603,135.05700000000002,0.155,Electronic
